Publication Year,Author,Title,ISBN,Url,Abstract,Author Image,Book Cover,Date,Date Added,Num Pages,Short Title,Series,Publisher,Place,Place 2,Language,Library Catalog,Call Number,Extra,Notes,Automatic Tags,Editor,Series Editor,Translator,Contributor,StoryPoint,StoryPoint2,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,,,
1991,"El Saadawi, Nawal",Searching,978-1-85649-008-5 978-1-85649-009-2,https://www.goodreads.com/book/show/633467.Searching?ac=1&from_search=true&qid=WUkL9dAfEl&rank=2,"Fouada meets Farid, her lover, every Tuesday in a restaurant overlooking the Nile. But this week their usual table is deserted. She calls his home, but the shrilling of the telephone echoes in an empty room. Farid has disappeared. As she searches for him, Fouada becomes tormented by questions. She is a trained research chemist, but works in a dead-end ministry job. Convinced that she has something to give to the world, she cannot find it. What is it? Why does she search? 'Searching' expresses the poignancy of loss and doubt with the hypnotic intensity of a remembered dream.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1264819516l/633467.jpg,1991,2/14/2022 3:45,114,,,Zed Books,UK - London,"US - Atlantic Highlands, NJ",eng,Library of Congress ISBN,PJ7862.A3 S4 1991,,,Fiction; Psychological fiction; Egypt,,,"Eber, Shirley",,,,Love,Loss,Search for Identity,,,Egypt,Patriarchy,,
1992,"Al Shaykh, Hanan",Women of sand and myrrh,978-0-385-42358-8,https://www.goodreads.com/book/show/358627.Women_of_Sand_and_Myrrh,"A powerful and moving novel, by the Arab world's leading woman novelist, about four women coping with the insular, oppressive society of an unnamed desert state.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1411409979l/358627.jpg,1992,2/23/2022 4:31,280,,,Anchor Books,US - New York,,eng,Library of Congress ISBN,PJ7862.H356 W66 1992,,,Women; Fiction; Domestic fiction; Middle East,,,"Cobham, Catherine",,"First book by Hanan El Shaykh translated, she will go on to become one of the most translated women authors from the Arab world with mora than 6 books appearing in this database.",,Rebellion and Escape,Islam and Women,Patriarchy,Women's Rights,Gender Roles,Middle East,Sex,,
1992,"Bakr, Salwa",Such a beautiful voice,978-977-01-3121-3,https://catalog.princeton.edu/catalog/9910624813506421,,,https://images-na.ssl-images-amazon.com/images/I/914MA9Z-swL.jpg,1992,2/25/2022 15:08,150 p.,,Contemporary Arabic literature ; 35,Cairo: General Egyptian Book Organization,,,English,catalog.princeton.edu,PJ7816.A466 A23 1992,,,"Fiction; Bakr, Salwá—Translations into English",,,"El Sadda, Hoda",,,,,,,,,,,,
1992,"Djebar, Assia",Women of Algiers in their apartment,978-0-8139-1402-2,https://www.goodreads.com/book/show/4688851-women-of-algiers-in-their-apartment,"The cloth edition of Assia Djebar's Women of Algiers in Their Apartment, her first work to be published in English, was named by the American Literary Translators Association as an ALTA Outstanding Translation of the Year. Now available in paperback, this collection of three long stories, three short ones, and a theoretical postface by one of North Africa's leading writers depicts the plight of urban Algerian women who have thrown off the shackles of colonialism only to face a postcolonial regime that denies and subjugates them even as it celebrates the liberation of men. Denounced in Algeria for its political criticism, Djebar's book quickly sold out its first printing of 15,000 copies in France and was hugely popular in Italy. Her stylistically innovative, lyrical stories address the cloistering of women, the implications of reticence, the connection of language to oppression, and the impact of war on both women and men. The Afterword by Clarisse Zimra includes an illuminating interview with Djebar.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1266884741l/4688851.jpg,1992,2/14/2022 3:52,211,,CARAF books,University Press of Virginia,US - Charlottesville,,eng,Library of Congress ISBN,PQ3989.2.D57 F413 1992,,,Women; Fiction; Algeria,,,,,,,Opression,Algerian War,Islam and Women,Algeria,Gender Roles,Independence,Patriarchy,,
1992,"El Saadawi, Nawal",Death of an Ex-minister,978-0-7493-9950-4,https://www.goodreads.com/book/show/446407.Death_of_an_Ex_Minister?rating=1&utm_medium=api&utm_source=book_widget,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1374263594l/446407.jpg,1992,2/25/2022 2:53,,,,Minerva,,,English,Open WorldCat,,OCLC: 843514378,,,,,"Eber, Shirley",,"This decade is characterized by a depth of translation, as opposode to breadth. Very specific Arab women are being translated over and over again (Hanan Al Shaykh, Nawal El Saadawi,Leila Abouzeid, Salwa Bakr)",,Rebellion and Escape,Islam and Women,Patriarchy,Egypt,Opression,Sex,,,
1993,"Bakr, Salwa",The Wiles of men and other stories,978-0-292-70800-6,https://www.goodreads.com/book/show/1177205.The_Wiles_of_Men_and_Other_Stories,"Set among the poor of contemporary Cairo, these thirteen stories and one short novella tell of women struggling to provide themselves with the basic necessities of life. They explore the limits of self-awareness, the pressures to conform, and some of the strange paths to escape that women resort to in a conservative society shot through with social and sexual prejudice and preconceptions. Salwa Bakr contends that Arabic literature has been the domain of men and that it is the task of women writing in Arabic to redress the balance. One of Egypt's most interesting women writers of fiction, she is an emerging talent of great power. Her published oeuvre includes three story collections, a novel, and many popular articles. This translation of The Wiles of Men and Other Stories was first published in hardcover by Quartet Books of Great Britain in 1992.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1181665941l/1177205.jpg,1993,2/23/2022 4:50,178,,,University of Texas Press,US - Austin,,eng,Library of Congress ISBN,PJ7816.A466 A24 1993,,,"Women; Translations into English; Egypt; Bakr, Salwá; Social life and customs Fiction",,,,,,,,,,,,,,,
1993,,Stories by Egyptian women: my grandmother's cactus,978-0-292-70803-7,https://www.goodreads.com/book/show/2620852-stories-by-egyptian-women,"Egyptian Women have been writing short stories since the 1890s and have made a special contribution to the development of the genre in the twentieth century. This collection presents eight short-story writers whose work began to emerge in the late 1970s and early 1980s. They are exploring new themes, linguistic and symbolic fields, and literary structures. Some are trying to break down traditional genre boundaries, while others are exploring the specifically Arabic and Egyptian heritages of narrative and tradition.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1444093191l/2620852._SY475_.jpg,1993,2/25/2022 2:50,165,Stories by Egyptian women,,University of Texas Press,US - Austin,,eng,Library of Congress ISBN,PJ8216 .S76 1993,,,"Women; Arabic fiction; Translations into English; 20th century; Egypt; Social life and customs Fiction; Short stories, Arabic; Women authors Translations into English","Booth, Marilyn",,,,,,Sexuality,Patriarchy,Islam and Women,Religion,Opression,Egypt,,,
1994,"El Saadawi, Nawal",The innocence of the Devil,978-0-520-08889-4,https://www.goodreads.com/book/show/6381510-the-innocence-of-the-devil,"Nawal El Saadawi's books are known for their powerful denunciation of patriarchy in its many forms: social, political, and religious. Set in an insane asylum, The Innocence of the Devil is a complex and chilling novel that recasts the relationships of God and Satan, of good and evil. Intertwining the lives of two young women as they discover their sexual and emotional powers, Saadawi weaves a dreamlike narrative that reveals how the patriarchal structures of Christianity and Islam are strikingly similar: physical violation of women is not simply a social or political phenomenon, it is a religious one as well. While more measured in tone than Salman Rushdie's Satanic Verses, Saadawi's novel is similar in its linguistic, literary, and philosophical richness. Evoking a world of pain and survival that may be unfamiliar to many readers, it speaks in a universal voice that reaches across cultures and is the author's most potent weapon",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1430833970l/6381510.jpg,1994,2/14/2022 3:47,233,,,University of California Press,US - Berkeley,,eng,Library of Congress ISBN,PJ7862.A3 J3613 1994,,,Women; Fiction; Domestic fiction; Middle East,,,"Hatatah, Sharif; Malti-Douglas, Fedwa",,,,,,,,,,,,
1994,"El Saadawi, Nawal",Memoirs from the women's prison,978-0-520-08887-0 978-0-520-08888-7,https://www.goodreads.com/book/show/446409.Memoirs_from_the_Women_s_Prison,"Often likened to Rigoberta Menchu and Nadine Gordimer, Nawal El Saadawi is one of the world's leading feminist authors. Director of Health and Education in Cairo, she was summarily dismissed from her post in 1972 for her political writing and activities. In 1981 she was imprisoned by Anwar Sadat for alleged ""crimes against the State"" and was not released until after his assassination. Memoirs from the Women's Prison offers both firsthand witness to women's resistance to state violence and fascinating insights into the formation of women's community. Saadawi describes how political prisoners, both secular intellectuals and Islamic revivalists, forged alliances to demand better conditions and to maintain their sanity in the confines of their cramped cell. Saadawi's haunting prose makes Memoirs an important work of twentieth-century literature. Recognized as a classic of prison writing, it touches all who are concerned with political oppression, intellectual freedom, and personal dignity.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1417982506l/446409.jpg,1994,2/25/2022 2:49,204,,,University of California Press,US - Berkeley,,eng,Library of Congress ISBN,PJ7862.A3 Z47313 1994,,,"Biography; Egypt; Saʻdāwī, Nawāl; Authors, Arab; Imprisonment; Political prisoners",,,"Booth, Marilyn",,,,Political Oppression,Egypt,State Violence,Women's rights,Egypt,Intellectual Freedoms,,,
1995,"Al Shaykh, Hanan",The story of Zahra,978-0-385-47206-7,https://www.goodreads.com/book/show/162215.The_Story_of_Zahra,"Zahra’s mother uses her as a cover for her meetings with a lover; Zahra’s strict father mistreats her for being complicit in her mother’s affair. Fleeing from Beirut in search of solace, Zahra stays with her uncle in West Africa—and then uses marriage as another kind of escape. Back in Beirut, love finally comes to her, but with terrible consequences. Banned in several Middle Eastern countries since its original publication, The Story of Zahra is an intoxicating, provocative story of a young woman’s coming of age in a city torn apart by war. With more than 21,000 copies in print of ""Women Of Sand And Myrrh,"" and more than 15,000 copies of ""The Story Of Zahra,"" Hanan al-Shaykh is the best known and most admired woman writer of the Arab world. The paperback publication of ""Zahra"" will bring this passionate and courageous novel to a much larger group of readers. Its haunting story of a young Lebanese woman who attempts to stem the violence in Beirut by initiating a sexual liaison with a sniper has ""lifted the corner of a dark curtain"" ( ""Sunday Telegraph"" ) from a world that fascinates us all."" ""The Story Of Zahra"" is a classic by any standards.""-- ""Village Voice Literary Supplement."" ""This rich tale mesmerizes with its frank sexuality and scenes of war-torn Beirut.""-- ""Publishers Weekly.""",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320490180l/162215.jpg,1995,2/23/2022 4:41,215,,,Anchor Books,US - New York,,eng,Library of Congress ISBN,PJ7862.H356 H5513 1995,,,,,,"Ford, Peter",,,,Family Drama,Beirut,Love,Sexuality,Rebellion and Escape,Lebanon War,,,
1995,"Mernissi, Fatima",Dreams of trespass: tales of a harem girlhood,978-0-201-48937-8 978-0-201-62649-0,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349011875l/177335.jpg,1995,3/25/2022 3:46,242,Dreams of trespass,,Addison-Wesley Pub. Co,"US - Reading, Mass.",,eng,K10plus ISBN,,,,,,,,,,,,,,,,,,,
1996,"al Zayyat, Latifa",The search: personal papers,978-0-7043-0204-4,https://www.goodreads.com/book/show/1270149.The_Search,"Latifa Zayyat is an Egyptian writer, political activist and feminist who has twice been imprisoned for her political beliefs. Here she writes of her extraordinary life with a power and clarity which cannot fail to move the reader.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347662535l/1270149.jpg,1996,2/25/2022 2:50,125,The search,,Quartet Books,UK - London,,eng,Library of Congress ISBN,PJ7876.A99 H3613 1996,,,"Biography; Egypt; Women authors, Arab; Imprisonment; Women political prisoners; Zayyāt, Laṭīfah",,,"Bennett, Sophie",,,,,,,,,,,,
1996,"Mernissi, Fatima",Women's rebellion & Islamic memory,978-1-85649-397-0 978-1-85649-398-7,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1266489567l/177341.jpg,1996,3/25/2022 3:49,131,,,Zed Books,"US - Atlantic Highlands, N.J",,eng,Library of Congress ISBN,HQ1170 .M4613 1996,,,Women; Social conditions; Muslim women; History; Arab countries; Feminism; Women in Islam,,,"Agar, Emily",,,,,,,,,,,,
1997,"al Zayyat, Latifa",The owner of the house,978-0-7043-8043-1,https://www.goodreads.com/book/show/119520.The_Owner_of_the_House,"Samia is running away from the political police with her husband who has escaped from prison. Their journey is dramatic and suspenseful: fantasy and fact merge and demand them to assume disguises and other personalities as events develop at breathtaking speed. Behind the innocent surface story of a journey of escape, lies the story of Samia's spiritual quest and growth: she succeeds in confronting and going beyond the oppressions to which a human being is subjected",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347340789l/119520.jpg,1997,2/25/2022 13:56,134,,,Quartet Books,UK - London,,eng,K10plus ISBN,,,,,,,"Bennett, Sophie",,,,,,,,,,,,
1997,"Samman, Ghada",Beirut nightmares,978-0-7043-8065-3,https://www.goodreads.com/book/show/122830.Beirut_Nightmares,"Beirut Nightmares is set at the height of the Lebanese Civil War. The narrator, trapped in her flat for two weeks by street battles and sniper fire, writes a series of vignettes peopled by an extraordinary cast of characters, some drawn from the amazing waking world and others living only in the sleeping minds of those suffering in the conflict.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328644488l/122830.jpg,1997,2/25/2022 14:16,378,,,Quartet Books,UK - London,,eng,Library of Congress ISBN,PJ7862.A584 K313 1997,,,"Lebanon; Civil War, 1975-1990; History Fiction",,,,,The novel is set in the lebanese civil war and translated 7 years after the war ended and 13 years after it was originally published.,,,,,,,,,,
1998,"Abouzeid, Leila",Return to childhood: the memoir of a modern Moroccan woman,978-0-292-70490-9,https://www.goodreads.com/book/show/411124.Return_to_Childhood,"Leila Abouzeid, whose novel Year of the Elephant has gone through six reprintings, has now translated her childhood memoir into English. Published in Rabat in 1993 to critical acclaim, the work brings to life the interlocking dramas of family ties and political conflict. Against a background of Morocco’s struggle for independence from French colonial rule, Abouzeid charts the development of personal relationships, between generations as well as between husbands and wives. Abouzeid’s father is a central figure; as a strong advocate of Moroccan nationalism, he was frequently imprisoned by the French and his family forced to flee the capital. Si Hmed was a public hero, but the young daughter’s memories of her famous father and of the family’s plight because of his political activities are not so idyllic. The memoir utilizes multiple voices, especially those of women, in a manner reminiscent of the narrative strategies of the oral tradition in Moroccan culture. Return to Childhood may also be classified as an autobiography, a form only now gaining respect as a valid literary genre in the Middle East. Abouzeid’s own introduction and Elizabeth Fernea’s foreword discuss this new development in Arabic literature.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348266285l/411124.jpg,1998,2/25/2022 3:28,94,Return to childhood,Modern Middle East literatures in translation series,Center for Middle Eastern Studies at the University of Texas,"US - Austin, Tex.",,eng,Library of Congress ISBN,PJ7808.Z22 A3 1998,,,"Biography; Authors, Arab; Abū Zayd, Laylá; Childhood and youth; Morocco; Women and literature",,,,,Leila Abou Zeid translated Malcolm X's autobiohraphy into arabic and read it on the radio,,,,,,,,,,
1998,"Al Shaykh, Hanan",I sweep the sun off rooftops,978-0-385-49127-3,https://www.goodreads.com/book/show/937268.I_Sweep_the_Sun_Off_Rooftops,"Since the U.S. publication of Women of Sand and Myrrh--which has now sold more than 35,000 copies and was selected as one of the Fifty Best Books of 1992 by Publishers Weekly--Hanan al-Shaykh has attracted an ever larger following for her dazzling tales of contemporary Arab women. In these seventeen short stories--eleven of which are appearing in English for the first time--al-Shaykh expands her horizons beyond the boundaries of Lebanon, taking us throughout the Middle East, to Africa, and finally to London. Stylistically diverse, her stories are often about the shifting and ambiguous power relationships between different cultures--as well as between men and women. Often compared to both Margaret Atwood and Margaret Drabble, Hanan al-Shaykh is ""a gifted and courageous writer"" (Middle Eastern International).",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320439050l/937268.jpg,1998,2/23/2022 4:42,267,,,Doubleday,US - New York,,eng,Library of Congress ISBN,PJ7862.H356 A7613 1998,,,,,,"Cobham, Catherine",,,,,,,,,,,,
1998,"Samman, Ghada",The square moon: supernatural tales,978-1-55728-534-8 978-1-55728-535-5,https://www.goodreads.com/book/show/4934578-the-square-moon,"Marking collisions and mutations of culture and character, these ten short stories arise at the frontiers where Arabic tradition melds with both the modern European world and a Gothic strata of the supernatural. The resultant mix sparks tensions between the sexes, between identities, and between experimental forms of storytelling and strict narrative.In Samman's fiction, matchmakers still come to call, but lovers go bungee jumping. A schizophrenic has a discussion with one of his personalities about murder and relationships with women. Avoiding ghosts both real and imagined, a war-exile confronts class structure; the art of Paris; and the trials of being a woman, an Arab, and a writer in a country and culture not her own. The spirit of a strangled lover tells the story of his murder and of the web of love, beauty, lust, and loathing that brought about his demise. First published in Beirut in 1994 and now ably rendered into English, Samman's The Square Moon mixes the ghoulish with the everyday, the playful and witty with the terrifying, and never shirks from surprise endings, uncommon turns of plot, and the strange but realistic details of the characters' lives.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348335090l/4934578.jpg,1998,2/25/2022 2:51,203,The square moon,,University of Arkansas Press,"US - Fayetteville, Ark",,eng,Library of Congress ISBN,PJ7862.A584 Q2613 1998,,,,,,"Boullata, Issa J.",,,,,,,,,,,,
1998,"Tahawi, Miral",The tent,978-977-424-542-8,https://www.goodreads.com/book/show/387665.The_Tent,"The Tent is a beautifully written, powerful, and disturbing novel, featuring a host of women characters whose lives are subject to the will of a single, often absent, patriarch and his brutal, foul-mouthed mother. Told through the eyes of a young girl, the lives of the Bedouin and peasant women unfold, revealing the tragedy of the sonless mother and the intolerable heaviness of existence. Set against trackless deserts and star-filled night skies, the story tells of the young girl's relationship with her distant father and a foreign woman who is well-meaning but ultimately motivated by self-interest. It provides an intimate glimpse inside the women's quarters, and chronicles their pastimes and preoccupations, their stories and their songs.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1393219223l/387665.jpg,1998,2/25/2022 14:06,130,,Modern Arabic writing,American University in Cairo Press,Egypt - Cairo,,eng,Library of Congress ISBN,PJ7864.A3568 K4713 1998,,,,,,"Calderbank, Anthony",,All of Tahawi's novels have been translated into englished. All of the translations have been published by AUC press.,,,,,,,,,,
1999,"Djebar, Assia",So vast the prison,978-1-58322-009-2,https://www.goodreads.com/book/show/2119879.So_Vast_the_Prison,"So Vast the Prison is the double-threaded story of a modern, educated Algerian woman existing in a man's society, and, not surprisingly, living a life of contradictions. Djebar, too, tackles cross-cultural issues just by writing in French of an Arab society (the actual act of writing contrasting with the strong oral traditions of the indigenous culture), as a woman who has seen revolution in a now post-colonial country, and as an Algerian living in exile. In this new novel, Djebar brilliantly plays these contradictions against the bloody history of Carthage, a great civilization the Berbers were once compared to, and makes it both a tribute to the loss of Berber culture and a meeting-point of culture and language. As the story of one woman's experience in Algeria, it is a private tale, but one embedded in a vast history. A radically singular voice in the world of literature, Assia Djebar's work ultimately reaches beyond the particulars of Algeria to embrace, in stark yet sensuous language, the universal themes of violence, intimacy, ostracism, victimization, and exile.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320476579l/2119879.jpg,1999,2/23/2022 18:02,363,,,Seven Stories Press,US - New York,,eng,Library of Congress ISBN,PQ3989.2.D57 V3713 1999,,,,,,"Wing, Betsy",,,,,,,,,,,,
1999,"El Saadawi, Nawal",A daughter of Isis: the autobiography of Nawal El Saadawi,978-1-85649-679-7 978-1-85649-680-3,https://www.goodreads.com/book/show/118091.A_Daughter_of_Isis?from_search=true&from_srp=true&qid=BQdAQkdNR5&rank=1,"Nawal El Saadawi, writer and freedom fighter, has been pilloried, censored, imprisoned and exiled for her refusal to accept the oppressions imposed on women by gender and class. In her life and in her writings, this struggle against sexual discrimination has always been linked to a struggle against all forms of oppression. Her novels include Women at Point Zero, God Dies By the Nile, The Circling Song and Searching. This autobiography paints a portrait of her childhood and shows how she moulded her creative powers into a weapon.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312056593l/118091.jpg,1999,2/14/2022 3:49,294,A daughter of Isis,,Zed Books,UK -London,New York,eng,Library of Congress ISBN,PJ7862.A3 Z46 1999,,,"Biography; Egypt; Saʻdāwī, Nawāl; Women authors, Arab; Women physicians",,,,,,,,,,,,,,,
